#,Mainly operations,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,Testing/Quality Assurance,Architect,Other,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",HashiCorp Nomad,Docker EE,OpenShift on AWS,Other,Amazon ECR,Docker Hub,JFrog Artifactory,CNCF Harbor,Quay.io or on-premises,Other,Native ECR scanning,DIY Clair,DIY Trivy,Aqua Security,StackRox,Sysdig Secure,Prisma Cloud (Twistlock),"Nope, not scanning images (yet)",Other,CNCF Falco,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,NeuVector,"Nope, not scanning containers (yet)",Other,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,DIY encryption,"Nope, not encrypting sensitive data (yet)",Other,CNCF Notary,CNCF TUF-based,"Nope, not signing my images (yet)",Other,CNCF in-toto,Grafeas,"Nope, not managing my supply chain (yet)",Other,CNCF Open Policy Agent,Aqua Security,Prisma Cloud (Twistlock),Octarine,Portshift,DIY policy management,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),Are you using Kubernetes?,GitOps,Weave Net,Calico,Cilium,DIY eBPF,"Nope, not using Network Policies (yet)",Via a service mesh,Other,Kubernetes: pod security policies,Other,IAM users/roles,Active Directory/LDAP,"SSO (OpenID Connect/dex, etc.)",Other,Kubernetes: least-privileges AWS services access,Other,Any other security-related feature of AWS you're using? Any container security tool?,Start Date (UTC),Submit Date (UTC),Network ID
c2dfv3l62w8b9h5bsljec2dmm906jant,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,nope,2020-10-05 23:53:08,2020-10-05 23:55:41,e06edccdf3
pzn8jdoaz2wimrd9yi1epzn8rugw5blu,,Mainly development,,Site Reliability Engineer/DevOps,,,Architect,,ECS on EC2,ECS on Fargate,,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-08-03 20:27:53,2020-08-03 20:30:06,2834cd199e
b42g9gqobrumb42g95m3sknytfghea1z,,Mainly development,,Site Reliability Engineer/DevOps,,,Architect,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,,2020-08-03 15:16:31,2020-08-03 15:19:38,9085949558
73mi74borukz7j912xa73mi74b993a0x,,,InfoSec,,,,,,,,EKS on EC2,,,,,OpenShift on AWS,,Amazon ECR,,,,Quay.io or on-premises,,,,,,,,,,Rapid7,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,HashiCorp Vault,CyberArk,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,0,,Calico,,,,Via a service mesh,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,"Checkov for checking Terraform templates, prior to deployment.",2020-08-03 12:37:56,2020-08-03 12:41:29,7e33349ec0
dz9ncdu701xhfp437dz9pq6uhrz59fp6,Mainly operations,,,,,,,,ECS on EC2,,,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,no,2020-08-03 09:25:14,2020-08-03 09:26:57,0f0bd4238e
oxlv1snlmat74vo6genfloxlv1sn7dsp,,,InfoSec,,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,DIY Trivy,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,No,2020-08-03 07:01:52,2020-08-03 07:05:02,41a71634d8
m2dji0vidlfde7jm2djrxzlgmysnj1l4,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,Native ECR scanning,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,Calico,,,,,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,no,2020-08-03 05:14:03,2020-08-03 05:19:30,0384a417d2
sruac9vvpl437ynsruac1jmyff36hc1n,,,,,,,Architect,,ECS on EC2,,EKS on EC2,,,,,,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,HashiCorp Vault,CyberArk,,,,CNCF Notary,,,,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,Calico,,,,,,No,,IAM users/roles,Active Directory/LDAP,,,kube2iam,,Qualys,2020-08-03 01:03:07,2020-08-03 01:08:14,1e402f2856
srk1twz93qt34yyyh3srk1ts8585mbbf,,,InfoSec,,,,,,ECS on EC2,ECS on Fargate,,,,,Docker EE,,,Amazon ECR,,,,,,Native ECR scanning,,DIY Trivy,Aqua Security,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),0,,,,,,,,,,,,,,,,,No,2020-08-03 01:02:20,2020-08-03 01:06:01,e821686b87
1257cjngewrse3cl1255ohpy4sswfsqc,,,InfoSec,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,Docker Hub,JFrog Artifactory,CNCF Harbor,,,,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),Twistlock Defender,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,Prisma Cloud (Twistlock),,,,,,Amazon EC2 security group or network ACLs,,,1,0,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,no,2020-08-02 11:52:32,2020-08-02 11:55:35,8785484c22
u7a4jd33s52guyuj6u7a4jr9u1uoh4cp,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,Docker Hub,JFrog Artifactory,,Quay.io or on-premises,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,"Yes, PSP",,,Active Directory/LDAP,,,I'm assigning the IAM role to the nodes,,CIS Scans,2020-08-02 09:00:57,2020-08-02 09:22:07,b3eff1622b
j7ot2q98w6y6rptj7ot2ns9ccc5n3pdb,,Mainly development,InfoSec,Site Reliability Engineer/DevOps,Release management,,Architect,,ECS on EC2,,,,,,Docker EE,,,,,JFrog Artifactory,,,,,,,Aqua Security,,,Prisma Cloud (Twistlock),,,,Aqua Security,Prisma Cloud (Twistlock),Twistlock Defender,,,,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,Aqua Security,Prisma Cloud (Twistlock),,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,"IAM, VPN, Direct Connect",2020-08-02 00:38:26,2020-08-02 00:42:56,be0bc55703
0hu3lh89fg9sc5r20hu3r4u3vfiqj8hd,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,Cilium,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,,2020-08-01 17:05:38,2020-08-01 17:08:31,3e5e8f8afd
9hml8o2356kbcj0i9fycwm9hml8ogpmk,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,,,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,,,,,Via a service mesh,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-08-01 10:49:50,2020-08-01 10:53:38,7d813e4cf5
t7azaebi411lkbulgt7azxsy7h7hsiws,,,,,,,Architect,,,,EKS on EC2,,,,,,,,,,,Quay.io or on-premises,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,,Via a service mesh,,No,,IAM users/roles,,,,kube2iam,,No comment,2020-08-01 09:50:59,2020-08-01 09:56:00,31edb4f575
y52j7sy94v3py526bmcv8jj4kvpxfdzh,,,InfoSec,,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,,,,,,,Amazon ECR,,,,Quay.io or on-premises,,,,,Aqua Security,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),1,0,,Calico,,,,,,"Yes, PSP",,IAM users/roles,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,Custom compliance checks for our own standards,2020-08-01 07:18:47,2020-08-01 07:21:57,b4f9748367
bew6l8lf0irvw0waxbeme7t8cfpnylup,,,InfoSec,,,,,,ECS on EC2,,,,,,,,,Amazon ECR,,,,,,,,,,,,,,Trend micro deep security smartcheck,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,0,Weave Net,,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-08-01 05:33:12,2020-08-01 05:38:09,a0c8614a98
nrl1yji9d4mggdz78y2nrl1pnrsskuf6,,,,Site Reliability Engineer/DevOps,,,,,,,,,,,,,Pks,,,,CNCF Harbor,,,,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),,,,,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,,,,1,1,,,,,,,Nsx,No,,,Active Directory/LDAP,,,I'm assigning the IAM role to the nodes,,,2020-08-01 04:38:38,2020-08-01 04:41:35,0d28f0786c
xgb7ju3nbkbbhxxgb7jl1q8p2labhko4,,,,,,,Architect,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,"Within a cluster, between containers (East-West)",Cluster-external to containers (North-South),1,0,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Testing Firecracker as of now,2020-07-31 22:01:23,2020-07-31 22:04:36,7e493ac467
af0ct4juffn0egzssaf0cxr0azwwia5n,,,InfoSec,,,,,,ECS on EC2,ECS on Fargate,EKS on EC2,EKS on Fargate,,,Docker EE,,,Amazon ECR,Docker Hub,,,,,,,,,,,,,Anchore,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,,,,Cluster-external to containers (North-South),1,0,,,,DIY eBPF,,,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 20:53:35,2020-07-31 20:56:19,2812a69de7
51730auxremh99tdkvtzqy5173nh1n24,,,InfoSec,Site Reliability Engineer/DevOps,,,,,,,,,,,,,homegrown,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,no,2020-07-31 19:51:35,2020-07-31 20:16:03,1660ad8fca
newiugjjczszra1znewpdafeeozpuuqp,Mainly operations,,,,,,,,,ECS on Fargate,,EKS on Fargate,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,,,,,,Sysdig Secure,,,,CNCF Falco,,,,,,Sysdig Secure,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,,"Within a cluster, between containers (East-West)",,1,0,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,Cloudtrail,2020-07-31 19:55:26,2020-07-31 19:57:31,7d2f29026b
q5i61bxup7hu3c4uzkjwsq5i61ufsjl8,,,InfoSec,,,,,,ECS on EC2,ECS on Fargate,,,"DIY Kubernetes (kops, etc.)",,,OpenShift on AWS,,Amazon ECR,,JFrog Artifactory,,Quay.io or on-premises,,,DIY Clair,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),Twistlock Defender,,,,,AWS Parameter Store,HashiCorp Vault,CyberArk,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,,,,,,Redhat openshift,No,,IAM users/roles,Active Directory/LDAP,,,IAM roles for service accounts (IRSA),,AWS GuardDuty,2020-07-31 18:24:29,2020-07-31 18:32:34,e68f0c55d6
c9saqycdjx7zucfsbzugc9saqhmc6oo2,,,,Site Reliability Engineer/DevOps,,,Architect,,,ECS on Fargate,EKS on EC2,EKS on Fargate,,,,,,Amazon ECR,Docker Hub,,,,,,,,,,,,"Nope, not scanning images (yet)",Snyk,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,"Nope, not encrypting sensitive data (yet)",,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,IAM roles for service accounts (IRSA),,"Tfsec, kube-score, tflint, conftest",2020-07-31 18:17:03,2020-07-31 18:20:52,d26617b479
1yggbs5vk485he1yg5ic1gl8taw99q1z,,Mainly development,,Site Reliability Engineer/DevOps,,,Architect,,,ECS on Fargate,,EKS on Fargate,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,,2020-07-31 17:37:35,2020-07-31 17:48:58,e6f6e51d2f
hkdiddk14hg3vsdxkhkdidd6hyoven7t,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,,,JFrog Artifactory,,,,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)",,Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 16:12:00,2020-07-31 16:14:14,56ac6b993e
wdkan2o5qcthvpzcm9owdkz65fth84cr,,Mainly development,InfoSec,,,,Architect,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,Docker EE,,,Amazon ECR,Docker Hub,,,,,,DIY Clair,DIY Trivy,,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,AWS Parameter Store,,,,,,CNCF Notary,,,,CNCF in-toto,,,,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,,Calico,,,,Via a service mesh,,No,,IAM users/roles,,"SSO (OpenID Connect/dex, etc.)",,kube2iam,,,2020-07-31 15:33:01,2020-07-31 15:37:50,fb7eba4056
gw3i8t5qmddzlqjgw3i8uvca84o3p0kr,Mainly operations,,,,,,,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,,,,gitlab,,,,,,,,"Nope, not scanning images (yet)",,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,,Via a service mesh,,No,,,,"SSO (OpenID Connect/dex, etc.)",,I'm assigning the IAM role to the nodes,,,2020-07-31 15:20:34,2020-07-31 15:30:06,8dccb3e61e
pw67qplhm6j1s7rdtpw67hufqjscop5c,,,InfoSec,Site Reliability Engineer/DevOps,Release management,,Architect,,,,,,"DIY Kubernetes (kops, etc.)",,,,,,,JFrog Artifactory,CNCF Harbor,,,,,,Aqua Security,,,,,,,Aqua Security,,,,,,,,HashiCorp Vault,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,Aqua Security,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,"Yes, PSP",,,,"SSO (OpenID Connect/dex, etc.)",,,,,2020-07-31 14:18:46,2020-07-31 14:21:52,e6d725c8d0
24tyarc0rv1fvaq52dn24tyarktc0k3t,,,,Site Reliability Engineer/DevOps,,,,,,,EKS on EC2,,,,,,,,,JFrog Artifactory,,,,,,DIY Trivy,,,,,,,CNCF Falco,,,,,,,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,Calico,,,,,,"Yes, PSP",,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 13:36:40,2020-07-31 13:38:52,eaa24a7111
t1599z6r9q3uloycmt1599zubjy9hos4,,,,,,,Architect,,,,EKS on EC2,,,,Docker EE,,,Amazon ECR,,,,,,Native ECR scanning,,,Aqua Security,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,HashiCorp Vault,CyberArk,,,,,,"Nope, not signing my images (yet)",,,,,,,Aqua Security,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,Cluster-external to containers (North-South),1,1,,,,,,Via a service mesh,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,Active Directory/LDAP,,,kube2iam,,,2020-07-31 12:54:52,2020-07-31 12:58:37,84a3d40c01
xopoq5jm72tqtoaclgpexopoqetgp2m2,,,InfoSec,,,,,,ECS on EC2,,,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,,,,,,DIY Clair,,,,,,,,CNCF Falco,,,,,,,,,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,DIY policy management,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,,Via a service mesh,,"Yes, PSP",,,Active Directory/LDAP,,,kube2iam,,,2020-07-31 12:37:11,2020-07-31 12:40:11,a2db27306d
od0j1czvdx7rvwdbod0jpecti4gtw2hf,,,InfoSec,Site Reliability Engineer/DevOps,,,Architect,,,,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,,"At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,I will skip PSPs and will adopt Gatekeeper or similar,,IAM users/roles,,,,kube2iam,,,2020-07-31 12:35:13,2020-07-31 12:37:22,6fe0bf49a6
9no8g99s0znjrsbc6l9no8gmdkqzm2dc,,,,Site Reliability Engineer/DevOps,,,Architect,,,,EKS on EC2,,"DIY Kubernetes (kops, etc.)",,,,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,CNCF Open Policy Agent,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,0,Weave Net,Calico,,,,,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 12:28:38,2020-07-31 12:32:45,8c945af1d5
u3oi9wwyyt815mk85qyawtjmzu3oi9ww,Mainly operations,,InfoSec,Site Reliability Engineer/DevOps,Release management,,,,ECS on EC2,ECS on Fargate,EKS on EC2,,,,,,,Amazon ECR,,,,,,Native ECR scanning,,,,,,Prisma Cloud (Twistlock),,,,,Prisma Cloud (Twistlock),,,,,,AWS Parameter Store,,,DIY encryption,,,,,"Nope, not signing my images (yet)",,,,,Censored into ECR repositories,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,1,1,,,,,"Nope, not using Network Policies (yet)",,,No,,IAM users/roles,,,,IAM roles for service accounts (IRSA),,,2020-07-31 12:28:22,2020-07-31 12:31:50,7854209963
yu0p7ysg2yz11vusyu06v13a1wfhzt0h,,,InfoSec,,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,Docker Hub,,,,,,,,,,Sysdig Secure,,,,,,,,,"Nope, not scanning containers (yet)",,,,HashiCorp Vault,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,Octarine,,,,,,"Within a cluster, between containers (East-West)",,1,0,,,,,,Via a service mesh,,"Yes, PSP",,IAM users/roles,,,,I'm assigning the IAM role to the nodes,,,2020-07-31 12:14:37,2020-07-31 12:18:07,6345010772
wxw0sc02pfihu73yokwxw04b8n0m07vv,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,,JFrog Artifactory,,,,Native ECR scanning,DIY Clair,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",Amazon EC2 security group or network ACLs,,,0,,,,,,,,,,,,,,,,,"npm audit, anchore, github dependabot",2020-07-31 11:36:03,2020-07-31 11:39:44,7d352d4f50
kyn9yh1i768ks3ywr6xkyn9yh1i5so6f,,,,Site Reliability Engineer/DevOps,,,,,,ECS on Fargate,,,,,,,,Amazon ECR,Docker Hub,,,,,Native ECR scanning,,,,,,,,,,,,,,"Nope, not scanning containers (yet)",,AWS Secrets Manager,AWS Parameter Store,,,,,,,,"Nope, not signing my images (yet)",,,,"Nope, not managing my supply chain (yet)",,,,,,,,"Nope, not managing policies (yet)","At ingress, for example Load Balancer, API Gateway, Kubernetes Ingress, etc.",,,,0,,,,,,,,,,,,,,,,,,2020-07-31 11:31:25,2020-07-31 11:33:01,7bf536127e
